idDevedores,Valor,QtdTitulos
12447,3000,00,4
12448,1500,00,1
12449,15000,00,6
12450,1168,00,2
12452,2700,00,9
12453,2520,00,7
12454,7894,50,26
12455,900,00,3
12456,6318,71,18
12457,1800,00,6
12458,7744,00,11
12459,10240,00,10
12461,7020,00,3
12462,6066,00,5
12463,720,00,1
12464,3960,00,11
12466,4500,00,15
12467,5385,60,9
12468,1207,18,1
12474,2700,00,2
12475,3900,00,13
12476,2754,00,9
12477,250,00,1
12478,15000,00,6
12479,4320,00,12
12480,113,10,4
12481,4578,00,20
12482,3366,00,11
12483,4092,00,5
12484,196,00,7
12486,250,00,1
12487,2160,00,6
12488,1572,48,6
12489,6024,15,12
12491,15435,00,22
12492,7270,56,11
12494,10000,00,4
12495,2880,00,8
12496,1960,00,1
12497,3520,00,2
12498,6480,00,9
12499,2880,00,8
12501,2880,00,8
12502,1836,00,2
12503,2754,00,1
12504,1750,00,7
12505,3512,08,14
12506,306,00,1
12508,540,00,2
12509,900,00,3
12510,2880,00,8
12511,2142,00,7
12512,1712,00,3
12513,1440,00,2
12514,2160,00,6
12515,1380,00,4
12516,3206,00,22
12517,720,00,2
12518,20000,00,1
12519,1750,00,7
12520,4828,75,19
12521,306,00,1
12522,600,00,2
12523,30000,00,12
12524,1275,00,1
12525,7831,20,16
12526,5280,00,6
12527,524,16,2
12528,2456,08,9
12529,2160,00,1
12530,3780,00,9
12532,6582,40,11
12534,1900,00,5
12535,1440,00,4
12536,1080,00,3
12537,1572,45,1
12538,3600,00,10
12539,10050,00,10
12540,2520,00,7
12541,2250,00,4
12542,647,90,2
12544,420,00,15
12545,1792,00,9
12546,1800,00,5
12547,4446,65,5
12549,900,00,3
12550,840,00,15
12551,3000,00,10
12552,2012,08,8
12554,690,00,2
12555,2010,00,2
12556,1500,00,1
12557,896,00,9
12558,1924,72,11
12559,360,00,1
12560,2400,00,8
12561,1530,00,3
12562,1440,00,4
12563,3960,00,11
12564,360,00,1
12565,5000,00,2
12566,360,00,1
12567,261,25,1
12568,1500,00,3
12569,3774,16,15
12570,30548,05,15
12571,1080,00,3
12572,6048,30,12
12573,4300,00,14
12574,5632,00,8
12575,1800,00,5
12576,4660,00,2
12578,720,00,2
12579,15000,00,6
12580,313,50,1
12581,1756,60,2
12583,15504,00,12
12584,3060,00,10
12585,1800,00,5
12586,720,00,2
12587,2880,00,8
12588,3600,00,10
12589,8550,00,10
12592,4500,00,15
12593,6524,15,13
12594,3240,00,9
12595,360,00,1
12596,3600,00,10
12597,3774,16,15
12598,3960,00,11
12599,630,00,1
12600,11247,50,2
12601,945,00,1
12602,3524,16,14
12603,2160,00,4
12605,6663,71,19
12607,2160,00,1
12608,300,00,1
12610,3225,00,3
12611,8377,70,7
12612,2520,00,1
12613,3600,00,10
12615,2880,00,8
12616,1260,00,15
12617,4828,75,19
12618,306,00,1
12619,7594,50,25
12620,252,00,9
12622,9000,00,6
12623,612,00,2
12626,401,28,1
12627,3994,50,13
12628,720,00,2
12629,2329,92,4
12631,3333,34,3
12633,1550,62,3
12634,2500,00,1
12635,3600,00,10
12637,5000,00,2
12638,690,00,2
12639,2880,00,8
12640,3960,00,11
12641,12500,00,5
12642,3381,00,2
12643,15000,00,6
12644,1080,00,3
12645,4320,00,12
12646,2880,00,8
12647,20000,00,8
12648,1005,00,1
12649,2160,00,3
12650,2880,00,8
12651,11700,00,5
12652,2500,00,1
12653,3600,00,10
12654,1250,00,1
12655,6030,00,6
12658,360,00,1
12659,1080,00,1
12660,1000,00,4
12661,1836,00,6
12662,3694,50,12
12663,3240,00,9
12664,612,00,2
12665,720,00,2
12668,5078,75,20
12669,2520,00,3
12670,1080,00,3
12671,1440,00,4
12673,22500,00,9
12674,17500,00,7
12675,12500,00,5
12676,2370,00,3
12677,2160,00,6
12678,1012,08,4
12679,600,00,1
12680,5416,04,6
12682,4680,00,3
12683,3600,00,10
12685,12500,00,5
12686,1124,00,3
12688,1836,00,6
12690,360,00,1
12691,2500,00,1
12693,1260,00,2
12694,25000,00,10
12695,20000,00,8
12696,5973,71,17
12698,3274,16,13
12699,3960,00,11
12700,1500,00,3
12701,5000,00,2
12702,5400,00,2
12703,2142,00,7
12705,2700,00,9
12706,1260,00,9
12707,300,00,1
12708,4320,00,12
12709,2000,00,1
12710,7500,00,3
12711,345,00,1
12713,3600,00,10
12714,7500,00,2
12715,2520,00,7
12716,5740,00,1
12717,2500,00,1
12718,3366,00,3
12719,5750,00,18
12720,350,00,1
12721,306,00,1
12722,17500,00,7
12723,1080,00,3
12724,3240,00,9
12725,526,58,2
12726,1080,00,3
12727,1980,00,6
12729,350,00,1
12731,3600,00,10
12732,5040,00,12
12734,1005,00,1
12735,2520,00,4
12736,5328,75,21
12737,7688,25,9
12738,9920,00,8
12740,720,00,2
12741,5181,00,17
12742,1500,00,3
12743,1800,00,5
12744,5800,32,4
12745,553,04,2
12746,904,82,29
12747,4500,00,15
12748,1080,00,1
12751,983,18,2
12752,1440,00,4
12753,4320,00,12
12756,720,00,2
12757,6700,00,2
12758,2000,00,4
12759,3600,00,10
12760,3960,00,11
12761,1080,00,3
12762,6000,00,12
12763,7500,00,3
12765,1164,00,2
12766,2935,24,4
12768,1339,20,2
12769,3960,00,11
12770,360,00,1
12772,4938,71,14
12773,720,00,2
12774,4320,00,12
12775,2880,00,8
12776,2500,00,1
12777,10140,00,5
12778,8040,00,6
12779,640,00,1
12780,17500,00,7
12781,4000,00,16
12783,2700,00,9
12784,2520,00,7
12785,2520,00,1
12786,600,00,2
